CustomerID,CustomerName,Gender,City,State,Email,Age
C0001,Customer_1,Male,Pune,Tamil Nadu,user1@mail.com,36
C0002,Customer_2,Female,Delhi,Telangana,user2@mail.com,43
C0003,Customer_3,Male,Delhi,Tamil Nadu,user3@mail.com,20
C0004,Customer_4,Male,Hyderabad,Karnataka,user4@mail.com,36
C0005,Customer_5,Male,Delhi,Karnataka,user5@mail.com,37
C0006,Customer_6,Female,Delhi,West Bengal,user6@mail.com,49
C0007,Customer_7,Male,Kolkata,Telangana,user7@mail.com,24
C0008,Customer_8,Male,Hyderabad,Delhi,user8@mail.com,58
C0009,Customer_9,Male,Kolkata,Delhi,user9@mail.com,50
C0010,Customer_10,Female,Pune,Tamil Nadu,user10@mail.com,57
C0011,Customer_11,Male,Pune,West Bengal,user11@mail.com,56
C0012,Customer_12,Male,Kolkata,Maharashtra,user12@mail.com,35
C0013,Customer_13,Male,Pune,Tamil Nadu,user13@mail.com,57
C0014,Customer_14,Male,Hyderabad,West Bengal,user14@mail.com,18
C0015,Customer_15,Female,Mumbai,Telangana,user15@mail.com,28
C0016,Customer_16,Male,Kolkata,Telangana,user16@mail.com,45
C0017,Customer_17,Female,Chennai,Telangana,user17@mail.com,42
C0018,Customer_18,Female,Chennai,Telangana,user18@mail.com,40
C0019,Customer_19,Female,Delhi,Telangana,user19@mail.com,48
C0020,Customer_20,Male,Pune,West Bengal,user20@mail.com,47
C0021,Customer_21,Female,Chennai,West Bengal,user21@mail.com,59
C0022,Customer_22,Male,Delhi,Karnataka,user22@mail.com,52
C0023,Customer_23,Female,Mumbai,Delhi,user23@mail.com,24
C0024,Customer_24,Female,Hyderabad,Telangana,user24@mail.com,33
C0025,Customer_25,Female,Hyderabad,Maharashtra,user25@mail.com,43
C0026,Customer_26,Female,Hyderabad,West Bengal,user26@mail.com,19
C0027,Customer_27,Female,Chennai,Maharashtra,user27@mail.com,18
C0028,Customer_28,Female,Mumbai,Maharashtra,user28@mail.com,29
C0029,Customer_29,Female,Chennai,Maharashtra,user29@mail.com,22
C0030,Customer_30,Female,Pune,Karnataka,user30@mail.com,54
C0031,Customer_31,Male,Chennai,West Bengal,user31@mail.com,49
C0032,Customer_32,Male,Mumbai,Maharashtra,user32@mail.com,26
C0033,Customer_33,Female,Mumbai,Telangana,user33@mail.com,58
C0034,Customer_34,Female,Pune,Tamil Nadu,user34@mail.com,52
C0035,Customer_35,Female,Mumbai,Maharashtra,user35@mail.com,36
C0036,Customer_36,Male,Mumbai,Karnataka,user36@mail.com,33
C0037,Customer_37,Female,Hyderabad,West Bengal,user37@mail.com,20
C0038,Customer_38,Male,Pune,Karnataka,user38@mail.com,37
C0039,Customer_39,Male,Bangalore,Maharashtra,user39@mail.com,41
C0040,Customer_40,Male,Bangalore,West Bengal,user40@mail.com,50
C0041,Customer_41,Male,Mumbai,Tamil Nadu,user41@mail.com,41
C0042,Customer_42,Male,Bangalore,Maharashtra,user42@mail.com,28
C0043,Customer_43,Female,Bangalore,Karnataka,user43@mail.com,25
C0044,Customer_44,Female,Mumbai,Delhi,user44@mail.com,53
C0045,Customer_45,Female,Bangalore,Telangana,user45@mail.com,55
C0046,Customer_46,Female,Chennai,Karnataka,user46@mail.com,57
C0047,Customer_47,Female,Delhi,West Bengal,user47@mail.com,37
C0048,Customer_48,Male,Pune,Maharashtra,user48@mail.com,52
C0049,Customer_49,Female,Delhi,Telangana,user49@mail.com,42
C0050,Customer_50,Female,Mumbai,Maharashtra,user50@mail.com,52
C0051,Customer_51,Male,Hyderabad,West Bengal,user51@mail.com,42
C0052,Customer_52,Female,Pune,Maharashtra,user52@mail.com,46
C0053,Customer_53,Male,Mumbai,Delhi,user53@mail.com,35
C0054,Customer_54,Female,Hyderabad,Telangana,user54@mail.com,35
C0055,Customer_55,Male,Delhi,Telangana,user55@mail.com,19
C0056,Customer_56,Female,Mumbai,West Bengal,user56@mail.com,52
C0057,Customer_57,Female,Pune,Delhi,user57@mail.com,33
C0058,Customer_58,Male,Pune,Karnataka,user58@mail.com,58
C0059,Customer_59,Male,Kolkata,Maharashtra,user59@mail.com,53
C0060,Customer_60,Male,Chennai,Tamil Nadu,user60@mail.com,50
C0061,Customer_61,Male,Bangalore,Maharashtra,user61@mail.com,21
C0062,Customer_62,Male,Hyderabad,Maharashtra,user62@mail.com,50
C0063,Customer_63,Male,Kolkata,Karnataka,user63@mail.com,31
C0064,Customer_64,Male,Bangalore,Maharashtra,user64@mail.com,38
C0065,Customer_65,Male,Bangalore,Delhi,user65@mail.com,37
C0066,Customer_66,Female,Mumbai,Delhi,user66@mail.com,25
C0067,Customer_67,Female,Bangalore,Telangana,user67@mail.com,24
C0068,Customer_68,Male,Chennai,West Bengal,user68@mail.com,20
C0069,Customer_69,Female,Pune,Tamil Nadu,user69@mail.com,34
C0070,Customer_70,Female,Kolkata,Maharashtra,user70@mail.com,50
C0071,Customer_71,Female,Bangalore,Maharashtra,user71@mail.com,29
C0072,Customer_72,Female,Mumbai,Karnataka,user72@mail.com,39
C0073,Customer_73,Male,Chennai,West Bengal,user73@mail.com,39
C0074,Customer_74,Female,Delhi,Delhi,user74@mail.com,47
C0075,Customer_75,Male,Pune,Tamil Nadu,user75@mail.com,55
C0076,Customer_76,Female,Pune,Telangana,user76@mail.com,55
C0077,Customer_77,Female,Kolkata,Delhi,user77@mail.com,25
C0078,Customer_78,Female,Pune,West Bengal,user78@mail.com,44
C0079,Customer_79,Male,Bangalore,Telangana,user79@mail.com,44
C0080,Customer_80,Female,Mumbai,Karnataka,user80@mail.com,51
C0081,Customer_81,Male,Pune,Karnataka,user81@mail.com,38
C0082,Customer_82,Female,Pune,Maharashtra,user82@mail.com,47
C0083,Customer_83,Male,Delhi,West Bengal,user83@mail.com,50
C0084,Customer_84,Female,Delhi,Tamil Nadu,user84@mail.com,45
C0085,Customer_85,Male,Hyderabad,Telangana,user85@mail.com,50
C0086,Customer_86,Male,Chennai,Delhi,user86@mail.com,22
C0087,Customer_87,Female,Bangalore,West Bengal,user87@mail.com,36
C0088,Customer_88,Male,Pune,West Bengal,user88@mail.com,21
C0089,Customer_89,Female,Pune,Karnataka,user89@mail.com,52
C0090,Customer_90,Female,Mumbai,Maharashtra,user90@mail.com,34
C0091,Customer_91,Female,Hyderabad,Maharashtra,user91@mail.com,45
C0092,Customer_92,Female,Chennai,Telangana,user92@mail.com,47
C0093,Customer_93,Female,Hyderabad,Karnataka,user93@mail.com,46
C0094,Customer_94,Female,Kolkata,West Bengal,user94@mail.com,23
C0095,Customer_95,Female,Chennai,Tamil Nadu,user95@mail.com,52
C0096,Customer_96,Female,Pune,Karnataka,user96@mail.com,58
C0097,Customer_97,Female,Pune,Telangana,user97@mail.com,54
C0098,Customer_98,Female,Chennai,Telangana,user98@mail.com,41
C0099,Customer_99,Female,Pune,Karnataka,user99@mail.com,46
C0100,Customer_100,Male,Bangalore,Telangana,user100@mail.com,48
